time,magnitude,latitude,longitude,depth
2008-01-06T14:41:43.170Z,3.4,32.624,87.548,25
2008-02-18T02:44:48.500Z,4.2,25.688,99.932,22.7
2008-02-26T17:50:03.580Z,5.1,30.085,101.769,24.2
2008-03-21T14:02:33.260Z,4.6,24.487,97.523,35
2008-07-20T23:06:37.570Z,4.1,28.836,95.845,39.1
2008-10-12T21:08:45.600Z,3.7,44.829,83.253,35
2009-04-19T04:08:20.960Z,5.4,41.277,78.203,39
2009-04-25T14:29:28.110Z,4,26.112,91.446,37.8
2009-09-22T08:27:59.310Z,4,27.289,91.526,27.9
2009-10-29T19:57:01.280Z,4.8,26.548,90.018,30.4
2010-06-07T08:51:00.440Z,4.6,32.784,91.46,35
2010-11-17T04:37:15.670Z,4.6,28.469,94.174,35.6
2012-03-19T17:46:02.200Z,4.7,29.434,94.837,35
2016-08-31T09:25:06.570Z,4.7,34.339,86.186,30.29
2018-12-13T15:32:54.250Z,5.1,29.7432,98.7762,26.49
2018-12-13T15:39:45.230Z,4.7,29.6624,98.825,22.78
