time,magnitude,latitude,longitude,depth,Moho (km),d-H (km),"ln(Sn/Lg), RMS","ln(Sn/Lg), max amplitude",depth verified?,SnLg separate?,GCMT,
2019-09-09T06:40:32.810000Z,4.9,32.92,75.87,30.1,54.8,-24.7,-0.6,-0.38,yes,no,,WT
2010-02-26T04:42:38.090000Z,5.1,28.41,86.77,84.5,48.4,36.1,0.83,0.62,yes,yes,,ST
2014-12-18T15:32:12.950000Z,5,27.46,86.56,30.3,44.1,-13.8,-0.76,-0.63,yes,no,,ST
2011-09-18T12:40:49.580000Z,6.9,27.44,88.35,46,48.7,-2.7,-0.7,-0.72,yes,no,,ST
2016-11-27T23:35:21.040000Z,5.2,27.35,86.53,35.4,44.4,-9,-0.62,-0.54,yes,no,,ST
2006-02-03T01:57:48.160000Z,4.7,26.94,86.7,30.9,46.6,-15.7,-0.4,-0.18,yes,no,,ST
2021-04-28T02:21:26.196000Z,6,26.62,92.5,39.8,42.6,-2.8,-1.43,-1.29,yes,no,https://www.globalcmt.org/cgi-bin/globalcmt-cgi-bin/CMT5/form?itype=ymd&yr=2021&mo=4&day=27&oyr=2021&omo=4&oday=29&jyr=1976&jday=1&ojyr=1976&ojday=1&otype=nd&nday=3&lmw=3&umw=7&lms=0&ums=10&lmb=0&umb=10&llat=0&ulat=90&llon=0&ulon=180&lhd=0&uhd=110&lts=-9999&uts=9999&lpe1=0&upe1=90&lpe2=0&upe2=90&list=0,SET
2003-03-25T18:51:26.810000Z,5.4,26.92,89.82,55.8,54.9,0.9,-0.44,-0.67,yes,no,,SET
2012-05-11T12:41:35.080000Z,5.4,26.18,93.03,46.1,40.6,5.5,-0.4,-0.47,yes,no,,SET
2013-11-06T04:16:17.150000Z,5.3,26.39,93.74,35.5,41.9,-6.4,-0.21,-0.23,yes,no,,SET
